log_meso_SoDel_cpue,log_chl_SoDel,temp_EaDel
7.501417707,0.182321557,14
7.501417707,0.182321557,14
6.705468902,0,12.2
6.01619376,0.470003629,12.75
7.3515588,0.09531018,15
7.3515588,0.09531018,15
7.986037983,0.78845736,17
7.986037983,0.78845736,17
8.875388825,0.182321557,21
8.875388825,0.182321557,21
5.497623155,-0.510825624,23.8
5.497623155,-0.510825624,23.8
8.678434836,0.993251773,24.55
8.678434836,0.993251773,24.55
8.54858178,0,19.55
8.54858178,0,19.55
8.68870123,0.693147181,17.2
8.68870123,0.693147181,17.2
6.037951876,0.182321557,12.2
6.45790504,0.641853886,12.4
7.373414499,1.504077397,17.7
7.402790277,0.336472237,17.65
8.083558079,0.300104592,19.825
8.484862436,0.262364264,22
9.141279818,1.193922468,25.2
9.395173264,1.360976553,25.1
9.395173264,1.360976553,25.1
9.384683769,1.252762968,23.5
8.908040753,1.029619417,17.45
8.908040753,1.029619417,17.45
8.436218019,2.388762789,12.6
7.763678617,2.079441542,9
6.882876671,0.832909123,11.75
6.882876671,0.832909123,11.75
8.504601312,0.955511445,12
8.934410931,1.098612289,21
8.934410931,1.098612289,21
9.383275838,1.840549633,25.4
9.383275838,1.840549633,25.4
9.1953344,1.029619417,22.65
9.1953344,1.029619417,22.65
8.909673365,3.601276993,20.7
5.450067364,0.530628251,9.95
6.375343439,0.587786665,8.9
8.01809845,-0.356674944,13.45
8.01809845,-0.356674944,13.45
5.347392252,1.435084525,13.1
5.347392252,1.435084525,13.1
7.563078943,1.774952351,19.65
7.563078943,1.774952351,19.65
8.391985772,0.78845736,17.5
8.499740977,0.78845736,21.9
8.499740977,0.78845736,21.9
8.817017415,0.916290732,24.45
8.817017415,0.916290732,24.45
9.417934659,3.246490992,26.45
9.417934659,3.246490992,26.45
9.470655039,3.113515309,21
9.470655039,3.113515309,21
8.571894957,2.415913778,22.5
8.571894957,2.415913778,22.5
7.084380819,0.405465108,14.6
7.084380819,0.405465108,14.6
5.826000628,0.405465108,10
5.826000628,0.405465108,10
6.649857721,0.530628251,8.8
6.543345106,0.741937345,14.65
6.543345106,0.741937345,14.65
7.362838712,1.193922468,15.35
7.362838712,1.193922468,15.35
7.889388955,1.757857918,21.15
7.889388955,1.757857918,21.15
9.061411109,1.064710737,23.55
9.061411109,1.064710737,23.55
9.137825503,1.335001067,25.1
9.137825503,1.335001067,25.1
9.54101575,1.223775432,23.5
9.54101575,1.223775432,23.5
8.179645898,1.335001067,20.6
8.179645898,1.335001067,20.6
7.368084701,0.78845736,16.55
6.112612916,0.262364264,10.5
6.112612916,0.262364264,10.5
